dsr1,dr1r2,Pr2,msr1,msr2,mr1d,mr2d,mr1r2,zeta,minPr1,minDsr2
0.77732,0.66515,0.4706,3,2,2,2,1,0.061801,0.0285,0.325
0.35051,0.62192,0.048536,3,1,3,1,3,0.14665,0.0054,0.565
0.89375,0.39924,0.85119,3,3,3,1,2,0.23877,0.001,0.9
0.27617,0.40942,0.78411,3,2,2,3,1,0.30679,0.9998,0.009
0.90171,0.35544,0.87411,2,3,1,3,1,0.30243,0.9998,0.027
0.084132,0.97274,0.96524,3,3,3,1,1,0.46614,0.0384,0.726
0.22471,0.99692,0.10139,3,1,2,2,3,0.40906,0.2936,0.032
0.87239,0.91952,0.20779,3,2,3,2,2,0.39792,0.001,0.486
0.24568,0.42109,0.26014,3,2,2,1,1,0.47834,0.0307,0.323
0.12347,0.75052,0.90149,2,2,1,3,1,0.19263,0.9998,0.021
0.56073,0.89469,0.85178,3,3,1,2,3,0.36194,0.9998,0.156
0.15738,0.50728,0.25748,3,3,1,1,1,0.10817,0.9998,0.298
0.1376,0.76638,0.0012702,2,1,1,1,3,0.44501,0.0263,0.789
0.65249,0.68611,0.5174,2,3,1,3,3,0.20248,0.9998,0.088
0.4358,0.55414,0.88102,2,1,1,3,1,0.40062,0.9998,0.001
0.41321,0.91982,0.22675,1,2,2,1,2,0.48734,0.0219,0.696
0.7325,0.82658,0.4039,2,3,1,1,3,0.36089,0.1,0.648
0.8457,0.76023,0.3673,2,3,2,2,1,0.34986,0.012,0.514
0.81082,0.62744,0.38041,1,1,1,1,3,0.34623,0.0252,0.162
0.20664,0.33747,0.086143,1,1,1,1,3,0.17904,0.9998,0.037
0.99689,0.96538,0.95941,3,1,1,1,3,0.11338,0.001,0.279
0.27862,0.36511,0.20228,1,2,3,3,2,0.37179,0.2738,0.028
0.58726,0.74768,0.017487,3,2,3,2,1,0.018369,0.012,0.732
0.45526,0.96934,0.50864,1,1,1,3,1,0.10515,0.9998,0.001
0.045758,0.654,0.95016,3,3,3,1,1,0.28878,0.0373,0.638
0.63414,0.54891,0.15258,2,2,1,3,1,0.042243,0.9998,0.073
0.89222,0.46436,0.7672,3,3,2,1,1,0.24353,0.001,0.9
0.86175,0.68731,0.79564,3,1,2,3,3,0.47493,0.1935,0.001
0.97674,0.84133,0.9943,3,1,1,3,1,0.15864,0.9998,0.001
0.76268,0.73326,0.31478,3,3,2,2,2,0.4008,0.0274,0.433
0.66065,0.35126,0.20156,3,1,2,1,1,0.42537,0.0032,0.215
0.79844,0.49171,0.41287,2,3,3,3,3,0.13671,0.0131,0.291
0.20073,0.72693,0.7887,1,1,3,2,2,0.030715,0.2958,0.01
0.44548,0.52625,0.15496,3,2,3,3,1,0.437,0.078,0.069
0.89412,0.78126,0.65999,2,2,3,2,2,0.38737,0.001,0.367
0.86432,0.97046,0.86501,3,1,1,3,1,0.33695,0.9998,0.001
0.84796,0.35712,0.13992,2,2,1,1,1,0.14364,0.0076,0.67
0.57082,0.69164,0.7107,3,2,1,3,3,0.16606,0.9998,0.025
0.54951,0.75552,0.61311,3,1,3,1,1,0.37594,0.0043,0.253
0.59433,0.48419,0.49575,1,3,3,3,2,0.49571,0.0945,0.093
0.80102,0.58011,0.81935,1,1,1,3,3,0.34609,0.9998,0.001
0.18815,0.48527,0.18118,3,2,2,1,3,0.26986,0.0351,0.493
0.32759,0.4236,0.22891,2,3,3,1,3,0.069769,0.0175,0.892
0.71958,0.5349,0.47802,2,2,1,2,2,0.11192,0.9998,0.075
0.088774,0.77458,0.55287,2,2,1,1,1,0.40295,0.9998,0.17
0.57181,0.98966,0.018079,2,2,1,2,3,0.23042,0.3332,0.421
0.5511,0.34137,0.25151,2,3,3,3,1,0.26909,0.0648,0.112
0.62997,0.47222,0.47851,2,1,1,2,3,0.49656,0.9998,0.001
0.25509,0.6908,0.75472,3,1,2,2,2,0.048214,0.9998,0.005
0.05839,0.63956,0.12893,2,2,3,2,2,0.33637,0.0725,0.229
0.92997,0.67192,0.20336,3,1,3,3,1,0.28511,0.001,0.009
0.39404,0.57301,0.66608,3,1,2,3,3,0.47733,0.9998,0.001
0.92429,0.58916,0.20326,3,2,2,3,3,0.10002,0.0065,0.224
0.55165,0.79799,0.062613,1,3,3,3,3,0.030824,0.0681,0.554
0.98956,0.34918,0.12451,2,1,1,3,2,0.48421,0.2276,0.001
0.61621,0.77562,0.8396,3,1,2,1,2,0.38434,0.0098,0.188
0.022326,0.41944,0.95095,1,1,2,1,1,0.16919,0.2914,0.03
0.25955,0.7762,0.53095,2,2,2,2,3,0.023103,0.8634,0.199
0.77998,0.87934,0.42807,3,1,1,2,3,0.25215,0.9998,0.005
0.46244,0.76483,0.646,2,3,2,2,1,0.17194,0.4025,0.227
0.79998,0.85727,0.39571,2,3,1,1,1,0.15997,0.089,0.782
0.86137,0.84393,0.1049,3,2,1,3,2,0.1971,0.9998,0.083
0.44789,0.90485,0.14293,3,2,2,2,3,0.047839,0.1572,0.41
0.080136,0.40206,0.16305,2,1,2,3,1,0.26929,0.9998,0.001
0.58917,0.54577,0.52277,2,1,3,1,1,0.16759,0.0032,0.283
0.96346,0.36276,0.30866,1,2,2,1,2,0.26461,0.001,0.789
0.035314,0.74913,0.31859,2,3,3,3,2,0.050551,0.8645,0.183
0.26363,0.48418,0.69953,1,3,1,2,2,0.028366,0.9998,0.211
0.22054,0.52,0.99543,3,1,3,2,1,0.094566,0.5444,0.002
0.31744,0.86723,0.10262,3,3,2,2,2,0.10638,0.2584,0.493
0.024859,0.9994,0.28305,2,2,3,2,3,0.38391,0.1363,0.215
0.82153,0.30265,0.66026,1,3,3,1,3,0.31618,0.001,0.869
0.67989,0.98021,0.43538,1,2,3,2,1,0.11898,0.012,0.401
0.22386,0.37173,0.021421,3,3,2,3,1,0.25846,0.1649,0.2
0.56139,0.97808,0.75248,1,1,3,2,3,0.47464,0.0461,0.01
0.15081,0.51967,0.48703,3,1,1,3,3,0.35182,0.9998,0.001
0.57715,0.72064,0.13602,2,1,3,2,2,0.017466,0.0131,0.109
0.76635,0.76666,0.53632,2,1,3,3,1,0.45026,0.0527,0.001
0.73224,0.92346,0.89525,3,2,1,1,3,0.39716,0.1253,0.409
0.4248,0.80259,0.41054,2,2,1,2,1,0.30229,0.9998,0.079
0.88784,0.56037,0.14887,2,3,1,1,3,0.084658,0.0329,0.9
0.24779,0.45294,0.72844,1,2,3,1,2,0.091541,0.0164,0.62
0.88677,0.44944,0.54277,1,2,1,2,1,0.082638,0.9998,0.063
0.54791,0.66299,0.42536,2,3,2,3,2,0.40606,0.9998,0.066
0.76418,0.77221,0.72529,2,1,3,2,2,0.11113,0.0076,0.023
0.97557,0.72152,0.18694,2,2,3,3,1,0.23166,0.001,0.261
0.71805,0.44895,0.14042,1,3,3,2,3,0.24035,0.0043,0.609
0.21233,0.98736,0.25455,3,3,1,3,3,0.31343,0.9998,0.135
0.66488,0.79425,0.85807,2,2,1,1,1,0.13491,0.2309,0.408
0.22896,0.6627,0.25606,1,2,1,3,1,0.0080743,0.9998,0.118
0.089602,0.81292,0.68257,3,3,3,3,2,0.21758,0.9998,0.089
0.64802,0.34748,0.9947,1,1,3,2,3,0.090576,0.034,0.005
0.29657,0.42617,0.84191,2,2,2,3,3,0.32723,0.9998,0.01
0.48026,0.62271,0.30163,2,2,2,2,3,0.27735,0.166,0.142
0.69864,0.43342,0.42193,2,1,3,1,1,0.10384,0.001,0.342
0.082046,0.52222,0.31458,1,3,1,2,1,0.16905,0.9998,0.136
0.33801,0.67939,0.25072,2,2,3,3,2,0.18409,0.2155,0.073
0.079272,0.82769,0.37287,3,3,1,3,1,0.10471,0.9998,0.134
0.3251,0.69488,0.22139,3,3,3,2,3,0.29354,0.0516,0.426
0.19257,0.40953,0.27236,1,3,1,1,1,0.091359,0.9998,0.252
0.46967,0.423,0.81109,1,1,1,2,1,0.0096658,0.9998,0.005
0.96316,0.54848,0.87357,2,3,3,3,2,0.36743,0.001,0.327
0.47534,0.40054,0.48646,2,2,2,1,3,0.45347,0.0142,0.387
0.29784,0.30354,0.16658,2,2,2,1,2,0.4373,0.0197,0.317
0.32467,0.62426,0.71783,3,1,1,3,3,0.21422,0.9998,0.001
0.1582,0.85414,0.013683,2,3,2,3,3,0.36174,0.2298,0.392
0.82159,0.87122,0.81617,2,2,3,3,2,0.25053,0.0153,0.102
0.32979,0.80894,0.69836,1,2,3,1,2,0.13938,0.0175,0.76
0.77018,0.40177,0.31385,3,1,1,3,2,0.00032787,0.9998,0.004
0.089281,0.83465,0.38839,2,3,2,2,2,0.073921,0.9998,0.292
0.46189,0.39859,0.37582,2,1,1,1,1,0.22631,0.9998,0.02
0.56046,0.53005,0.65368,2,2,1,1,1,0.3957,0.5444,0.136
0.48162,0.39969,0.34186,3,3,1,2,2,0.43246,0.9998,0.074
0.70901,0.7796,0.30983,1,1,2,2,3,0.0072223,0.0813,0.052
0.81239,0.43799,0.25392,1,3,1,3,1,0.22483,0.9998,0.06
0.61721,0.7323,0.37405,2,2,3,2,2,0.34729,0.012,0.301
0.40208,0.4386,0.50422,1,2,3,2,2,0.23506,0.0461,0.134
0.3184,0.99676,0.61837,1,2,2,1,1,0.37789,0.0439,0.588
0.65211,0.74024,0.15966,1,2,1,3,1,0.37855,0.9998,0.041
0.43211,0.85915,0.54287,1,1,3,1,2,0.45892,0.0065,0.25
0.55099,0.30848,0.14001,1,3,1,3,1,0.42802,0.9998,0.039
0.46668,0.94816,0.88514,2,3,3,1,3,0.35348,0.0153,0.9
0.39475,0.34359,0.70026,2,1,3,3,3,0.19781,0.3123,0.001
0.76724,0.82879,0.59654,3,1,3,3,1,0.071364,0.0923,0.001
0.84698,0.3506,0.81458,1,3,2,1,1,0.44216,0.001,0.828
0.66098,0.99304,0.38351,2,3,3,1,3,0.36525,0.0076,0.9
0.97292,0.79915,0.34589,1,1,2,2,2,0.12188,0.001,0.051
0.41669,0.45713,0.47823,3,3,2,1,2,0.24965,0.0252,0.63
0.58096,0.57358,0.92056,2,1,2,2,2,0.3382,0.9998,0.001
0.77884,0.5119,0.86486,1,3,1,1,3,0.46366,0.0659,0.409
0.59555,0.71054,0.883,3,2,2,3,3,0.39559,0.9998,0.016
0.14841,0.809,0.36914,2,2,2,1,1,0.30321,0.0604,0.533
0.7279,0.64838,0.63732,1,1,3,3,3,0.24236,0.0791,0.001
0.41948,0.6861,0.7904,2,1,3,3,2,0.029364,0.7831,0.001
0.45474,0.45803,0.93634,2,3,3,3,3,0.31141,0.4729,0.051
0.67717,0.31212,0.73894,3,3,2,2,2,0.027351,0.1077,0.28
0.38809,0.80705,0.7671,1,3,2,1,1,0.12034,0.0659,0.808
0.27761,0.70649,0.64087,1,3,2,1,2,0.059443,0.1077,0.825
0.40384,0.40722,0.87507,1,2,1,3,2,0.43867,0.9998,0.008
0.36507,0.53916,0.91539,1,1,3,1,2,0.085607,0.0109,0.206
0.21534,0.6994,0.32357,1,3,2,3,1,0.47863,0.9998,0.066
0.75515,0.89355,0.16088,2,1,1,1,3,0.21347,0.0252,0.36
0.30879,0.95989,0.23891,3,1,2,1,3,0.34939,0.0263,0.286
0.24918,0.5627,0.58969,1,2,2,1,2,0.49759,0.0461,0.337
0.71558,0.67485,0.074616,1,1,1,1,2,0.07668,0.023,0.479
0.02719,0.82087,0.33676,3,2,3,3,3,0.40068,0.9998,0.032
0.17938,0.40617,0.43462,1,2,1,3,1,0.44,0.9998,0.011
0.98181,0.55068,0.11532,2,2,1,2,3,0.13006,0.0043,0.501
0.88358,0.74864,0.90459,3,3,3,3,3,0.40536,0.0054,0.284
0.39327,0.49649,0.88847,2,3,1,1,2,0.15297,0.9998,0.238
0.37099,0.56962,0.85652,3,1,3,1,1,0.46127,0.0098,0.128
0.67082,0.34472,0.90182,1,2,1,2,3,0.36046,0.9998,0.022
0.5643,0.34555,0.38669,2,1,2,1,2,0.25248,0.0087,0.139
0.33753,0.97489,0.14351,3,3,3,3,1,0.051767,0.2111,0.378
0.98491,0.4457,0.24974,3,1,3,3,1,0.24312,0.001,0.006
0.31388,0.9498,0.89293,1,3,2,3,1,0.29935,0.9998,0.078
0.79057,0.82401,0.0098224,2,3,3,1,2,0.096701,0.0043,0.9
0.72898,0.92606,0.36184,2,2,3,3,2,0.10184,0.0263,0.172
0.26866,0.81152,0.53411,2,3,1,3,2,0.18756,0.9998,0.102
0.10959,0.93951,0.040509,2,1,3,1,2,0.11396,0.0142,0.612
0.89929,0.30489,0.17389,2,3,2,1,1,0.38387,0.001,0.869
0.99882,0.56218,0.50809,1,2,1,3,3,0.37425,0.001,0.152
0.36135,0.3412,0.84336,2,3,2,1,1,0.44499,0.034,0.314
0.088812,0.84301,0.73393,1,1,1,2,2,0.072614,0.9998,0.005
0.06068,0.36353,0.80559,2,3,3,2,3,0.27349,0.2441,0.114
0.060072,0.46347,0.21971,3,1,3,1,2,0.12963,0.0186,0.239
0.4018,0.55049,0.45399,2,3,3,2,2,0.41947,0.045,0.275
0.33874,0.34428,0.26686,2,3,3,3,3,0.046285,0.2254,0.151
0.35099,0.78982,0.48872,3,3,2,2,1,0.41019,0.5191,0.165
0.60589,0.70399,0.96145,1,1,3,2,1,0.031689,0.0428,0.015
0.66595,0.75967,0.53554,3,3,1,3,3,0.07402,0.9998,0.137
0.11591,0.99002,0.85725,2,2,2,2,3,0.2208,0.9998,0.093
0.26627,0.48382,0.58262,3,1,2,3,2,0.22156,0.9998,0.001
0.058551,0.31676,0.20848,2,3,3,1,3,0.14714,0.0219,0.632
0.94745,0.456,0.047566,2,3,3,1,2,0.0036115,0.001,0.9
0.36216,0.97382,0.087569,1,3,1,3,2,0.12783,0.9998,0.243
0.31697,0.5901,0.087903,2,3,3,1,3,0.17469,0.0175,0.9
0.11478,0.44232,0.5926,1,1,3,3,3,0.0053456,0.9998,0.001
0.44699,0.38893,0.51977,1,2,1,3,1,0.12839,0.9998,0.016
0.34017,0.33128,0.40819,1,2,2,1,3,0.16109,0.0263,0.4
0.41657,0.78985,0.22909,2,1,3,1,1,0.39949,0.0054,0.347
0.94498,0.75758,0.1034,3,2,1,3,2,0.3904,0.6951,0.064
0.040527,0.67968,0.0043823,3,1,1,3,1,0.28795,0.3563,0.163
0.12864,0.95906,0.038981,2,3,2,1,3,0.35273,0.0681,0.888
0.61559,0.39152,0.83525,3,3,2,3,2,0.22339,0.9998,0.038
0.22471,0.45533,0.22195,3,3,1,1,1,0.22353,0.7622,0.227
0.7021,0.89803,0.13392,1,3,2,3,3,0.064251,0.2628,0.354
0.60987,0.72862,0.99502,2,1,3,1,1,0.49489,0.0032,0.202
0.64645,0.99404,0.77503,3,3,2,1,3,0.48522,0.0186,0.871
0.56864,0.94074,0.41662,1,3,1,2,2,0.044391,0.9998,0.369
0.84916,0.74702,0.49787,3,2,2,1,2,0.46082,0.001,0.837
0.74166,0.49515,0.71408,2,1,1,3,3,0.049056,0.9998,0.001
0.18949,0.49139,0.053772,3,3,1,2,3,0.074215,0.9998,0.279
0.071494,0.76294,0.43487,1,3,1,2,3,0.19709,0.9998,0.195
0.060168,0.35829,0.58583,2,3,1,1,3,0.01896,0.9998,0.384
0.91378,0.55349,0.54171,1,2,2,1,2,0.091414,0.001,0.867
0.74971,0.39782,0.0045971,2,3,3,2,3,0.39563,0.0021,0.818
0.34778,0.53145,0.29377,2,1,3,2,3,0.006668,0.0659,0.049
0.84622,0.97395,0.3011,1,3,1,2,1,0.11661,0.9998,0.286
0.58646,0.59437,0.83309,3,3,3,2,2,0.077621,0.0329,0.466
0.060255,0.60276,0.48986,1,2,2,1,1,0.0026285,0.2507,0.815
0.42057,0.86769,0.98992,1,2,1,3,3,0.21659,0.9998,0.024
0.94431,0.90234,0.40671,3,2,1,1,3,0.47569,0.0043,0.81
0.65345,0.44979,0.55871,2,3,2,2,2,0.47815,0.0901,0.165
0.0068037,0.53438,0.76955,3,3,2,2,2,0.32305,0.9998,0.095
0.79766,0.38435,0.82736,2,3,3,2,2,0.37314,0.0032,0.394
0.057104,0.46067,0.98902,2,1,2,2,1,0.40319,0.9998,0.001
0.045584,0.91307,0.48395,1,2,1,2,2,0.097105,0.9998,0.14
0.89851,0.33644,0.088109,3,3,2,2,3,0.11931,0.0021,0.7
0.088504,0.9034,0.16666,2,3,1,1,3,0.22578,0.969,0.472
0.48842,0.71363,0.0033887,1,2,3,1,3,0.24278,0.0054,0.9
0.11046,0.63003,0.16512,3,2,3,2,1,0.22776,0.0725,0.23
0.41413,0.60942,0.85622,2,1,1,1,1,0.12027,0.9998,0.035
0.019951,0.70974,0.7991,3,2,1,3,1,0.3408,0.9998,0.016
0.68439,0.57171,0.2296,1,2,1,2,1,0.28757,0.9998,0.069
0.61173,0.55673,0.64515,1,1,1,2,3,0.30853,0.9998,0.001
0.4699,0.95303,0.79172,2,1,3,2,3,0.24714,0.0901,0.009
0.62366,0.62845,0.82415,1,1,2,3,3,0.18132,0.9998,0.001
0.54672,0.97397,0.18459,3,2,1,2,1,0.021012,0.9998,0.309
0.10965,0.64648,0.92543,2,2,3,3,3,0.33607,0.9998,0.015
0.37819,0.69789,0.73236,2,1,3,3,1,0.20498,0.5598,0.001
0.83446,0.64457,0.47074,2,3,3,2,1,0.072619,0.0043,0.676
0.36284,0.75034,0.096348,1,1,3,1,1,0.012342,0.0109,0.549
0.61622,0.44953,0.70774,1,3,3,3,2,0.093745,0.1154,0.135
0.75005,0.63087,0.30254,3,1,1,3,1,0.30116,0.9998,0.001
0.93336,0.76733,0.7514,1,3,1,1,1,0.4864,0.0098,0.824
0.64109,0.90567,0.3907,2,1,3,2,3,0.49683,0.0131,0.026
0.3277,0.94167,0.62925,1,1,2,3,3,0.035913,0.9998,0.001
0.88743,0.30842,0.24977,3,2,1,1,3,0.026714,0.0109,0.766
0.20343,0.37424,0.23528,2,2,3,2,3,0.30524,0.0648,0.122
0.29419,0.66295,0.72028,2,2,2,3,1,0.4557,0.9998,0.014
0.32977,0.37607,0.58502,1,1,1,1,1,0.44304,0.9998,0.01
0.20017,0.45862,0.55817,3,2,3,2,1,0.038569,0.1165,0.179
0.075854,0.69974,0.10591,2,2,3,3,3,0.35774,0.243,0.089
0.33894,0.85,0.77112,1,3,3,1,2,0.32922,0.0208,0.855
0.59237,0.97659,0.51484,2,1,1,1,2,0.47055,0.8216,0.047
0.56353,0.86945,0.94902,1,2,1,3,1,0.32479,0.9998,0.019
0.22751,0.39514,0.90169,1,1,2,3,1,0.21544,0.9998,0.001
0.32046,0.57007,0.72678,2,1,2,3,1,0.48363,0.9998,0.001
0.23034,0.9887,0.0072791,3,2,3,1,2,0.34672,0.0153,0.9
0.89525,0.72766,0.80612,2,3,1,1,2,0.017006,0.1704,0.9
0.40187,0.98125,0.89011,2,2,1,1,1,0.29998,0.9998,0.229
0.73417,0.86794,0.064778,2,1,3,3,1,0.2433,0.0054,0.042
0.05563,0.32484,0.4893,3,2,3,1,2,0.14742,0.0241,0.397
0.024363,0.84351,0.41292,1,3,1,3,1,0.24031,0.9998,0.098
0.69682,0.48791,0.44079,1,2,3,3,1,0.048125,0.0362,0.108
0.70236,0.68818,0.3817,1,3,2,3,2,0.22689,0.6049,0.107
0.27482,0.60651,0.31803,3,3,1,2,3,0.062785,0.9998,0.247
0.6068,0.39878,0.005712,2,3,3,3,1,0.21035,0.0054,0.631
0.85481,0.9242,0.33886,3,1,1,3,3,0.43742,0.9998,0.001
0.75894,0.97009,0.069263,1,3,2,1,2,0.10869,0.0252,0.9
0.99228,0.51239,0.053776,3,3,2,1,3,0.48066,0.001,0.9
0.089461,0.97595,0.6125,2,1,1,3,3,0.40063,0.9998,0.001
0.10949,0.67735,0.2535,3,1,3,1,1,0.41773,0.0175,0.217
0.2122,0.71061,0.46209,1,3,2,1,2,0.3443,0.0626,0.637
0.81393,0.60804,0.76248,1,3,3,3,2,0.0043823,0.0406,0.387
0.35878,0.50535,0.15206,3,1,1,2,3,0.45264,0.9998,0.004
0.23729,0.71442,0.81301,1,2,1,1,2,0.19321,0.9998,0.208
0.53291,0.97006,0.69534,3,3,3,1,2,0.23376,0.0153,0.9
0.77612,0.63098,0.31907,1,2,2,1,2,0.1936,0.0032,0.846
0.095391,0.49074,0.049941,3,3,3,1,1,0.082647,0.0263,0.9
0.56151,0.82881,0.96809,3,1,2,3,2,0.19559,0.9998,0.001
0.38382,0.54027,0.70817,2,1,3,3,3,0.30743,0.4047,0.001
0.086827,0.55224,0.10962,3,3,3,3,1,0.19971,0.2485,0.168
0.41744,0.88073,0.98948,3,3,1,3,2,0.1895,0.9998,0.09
0.80528,0.71359,0.27285,2,2,2,2,2,0.23228,0.012,0.357
0.20578,0.64862,0.16343,2,2,3,2,2,0.26112,0.0527,0.258
0.77969,0.45306,0.63343,3,1,2,3,3,0.35633,0.364,0.001
0.92162,0.44055,0.30347,1,2,3,1,1,0.33965,0.001,0.804
0.18755,0.37338,0.94081,1,2,2,2,2,0.064408,0.9998,0.048
0.94228,0.62076,0.26305,2,3,1,2,3,0.092098,0.1506,0.4
0.24921,0.50603,0.53291,3,1,1,3,2,0.081772,0.9998,0.001
0.34335,0.67963,0.34955,1,1,2,3,3,0.25157,0.9998,0.001
0.39277,0.94976,0.2489,1,1,2,3,1,0.36595,0.9998,0.001
0.023486,0.58753,0.84035,1,2,2,3,2,0.45816,0.9998,0.012
0.62819,0.57942,0.25098,2,3,2,3,3,0.49814,0.6577,0.075
0.47404,0.32095,0.22854,2,3,3,2,1,0.27018,0.0197,0.274
0.59847,0.69617,0.47775,2,3,3,2,2,0.17041,0.023,0.507
0.21346,0.68751,0.52573,3,3,1,1,1,0.15242,0.9998,0.329
0.22521,0.464,0.93305,3,1,2,3,3,0.32524,0.9998,0.001
0.16489,0.80536,0.027804,1,1,3,2,1,0.13304,0.0219,0.242
0.71437,0.33254,0.062195,3,1,3,3,1,0.3946,0.0065,0.014
0.12978,0.76779,0.38009,3,3,3,3,3,0.26952,0.7105,0.11
0.68083,0.6029,0.48528,3,3,1,1,1,0.36018,0.1132,0.43
0.026181,0.88615,0.48928,1,3,3,1,3,0.051338,0.1,0.9
0.20777,0.64445,0.29195,2,1,3,3,1,0.3313,0.7952,0.001
0.97061,0.44287,0.90528,1,3,1,1,1,0.080664,0.0054,0.9
0.73117,0.42304,0.36848,2,3,1,3,2,0.35411,0.9998,0.046
0.030977,0.75269,0.056267,2,1,3,3,3,0.36895,0.2617,0.009
0.094902,0.94055,0.48994,3,3,3,2,3,0.16658,0.1968,0.391
0.72329,0.90873,0.40697,3,1,1,2,3,0.047415,0.9998,0.012
0.73027,0.83971,0.33259,1,2,2,3,3,0.29387,0.4113,0.053
0.26121,0.95388,0.17838,3,1,2,3,2,0.49623,0.9998,0.001
0.74655,0.53909,0.37115,3,2,1,1,1,0.20461,0.0461,0.464
0.089913,0.42395,0.18325,3,2,1,1,1,0.14806,0.9998,0.163
0.29222,0.56853,0.30708,2,3,2,3,1,0.2062,0.9998,0.077
0.82947,0.46502,0.60272,2,1,3,3,3,0.27029,0.0208,0.001
0.69659,0.46572,0.13562,3,3,2,3,3,0.14759,0.1506,0.192
0.72571,0.40164,0.84542,1,2,3,1,1,0.38255,0.001,0.694
0.77861,0.35549,0.24213,3,3,3,1,2,0.22771,0.001,0.9
0.25698,0.35568,0.67011,2,3,1,1,1,0.26242,0.9998,0.129
0.75297,0.6478,0.89235,3,2,1,2,3,0.45832,0.9998,0.041
0.35996,0.49838,0.98566,2,1,2,1,1,0.24606,0.0593,0.065
0.59672,0.89134,0.90895,3,1,2,1,2,0.072077,0.0164,0.256
0.3565,0.65408,0.79546,2,2,1,3,3,0.34394,0.9998,0.016
0.64116,0.66127,0.69697,1,2,1,1,3,0.22128,0.221,0.322
0.16778,0.65369,0.40937,1,3,1,2,3,0.4691,0.9998,0.12
0.72449,0.88026,0.4884,2,3,2,2,3,0.28383,0.0648,0.422
0.95766,0.75249,0.68059,3,3,1,1,2,0.47122,0.0065,0.892
0.094509,0.77985,0.28458,3,2,3,2,3,0.1172,0.1154,0.267
0.69119,0.44307,0.51375,1,3,3,3,3,0.23586,0.0439,0.151
0.60479,0.84259,0.58439,2,3,2,1,3,0.34679,0.0219,0.86
0.66254,0.81199,0.14195,3,1,1,2,1,0.21039,0.9998,0.014
0.5977,0.42043,0.24829,1,1,3,3,2,0.026305,0.1451,0.002
0.011778,0.42034,0.98137,1,3,1,1,2,0.27175,0.9998,0.157
0.97314,0.55216,0.44436,3,3,1,1,1,0.21573,0.0043,0.9
0.23028,0.90228,0.94002,1,2,3,2,2,0.15818,0.1484,0.174
0.047385,0.71395,0.99241,3,3,3,2,3,0.12822,0.3013,0.26
0.70868,0.60508,0.84618,1,1,1,2,1,0.12454,0.9998,0.002
0.78594,0.82766,0.99733,3,3,1,3,2,0.3852,0.9998,0.063
0.42267,0.99753,0.61177,3,2,3,3,1,0.0092474,0.3959,0.132
0.88748,0.63723,0.090244,3,1,3,2,3,0.24568,0.001,0.139
0.039954,0.36193,0.9914,2,2,2,3,2,0.13145,0.9998,0.011
0.028289,0.86237,0.91354,1,3,2,3,3,0.47766,0.9998,0.064
0.88104,0.44743,0.78578,3,3,3,3,2,0.20976,0.0043,0.26
0.51569,0.73241,0.14702,2,3,1,2,1,0.053713,0.9998,0.325
0.83477,0.40315,0.92548,3,3,3,1,1,0.46673,0.001,0.862
0.13291,0.64174,0.75872,1,3,2,1,3,0.47834,0.0846,0.468
0.61126,0.33352,0.67679,3,1,3,2,2,0.48298,0.0516,0.002
0.31766,0.32067,0.72971,3,2,1,1,3,0.34138,0.9998,0.068
0.23812,0.39589,0.433,2,3,3,3,2,0.42011,0.6192,0.044
0.25576,0.56889,0.19621,3,1,2,1,2,0.22381,0.0285,0.218
0.15848,0.76313,0.58498,1,1,2,2,1,0.090598,0.9998,0.005
0.96138,0.4078,0.73496,2,2,2,3,1,0.49621,0.0043,0.06
0.93318,0.4786,0.78218,2,2,2,3,1,0.15403,0.0219,0.062
0.30308,0.7805,0.6446,1,1,3,1,3,0.059271,0.0153,0.286
0.064298,0.36129,0.40948,2,1,1,2,1,0.36582,0.9998,0.001
0.71875,0.58738,0.91801,3,2,3,2,1,0.32243,0.0076,0.218
0.60759,0.9625,0.7574,2,2,1,2,3,0.10414,0.9998,0.126
0.68318,0.38538,0.93839,2,3,3,2,3,0.0034547,0.0318,0.613
0.78294,0.48961,0.24947,1,2,1,3,2,0.46774,0.9998,0.019
0.52428,0.45423,0.56561,1,1,2,3,1,0.1824,0.9998,0.001
0.1015,0.87752,0.28757,2,2,3,3,3,0.26365,0.6368,0.054
0.61126,0.89721,0.85388,1,2,1,2,2,0.27326,0.9998,0.075
0.48113,0.33247,0.5505,2,1,1,1,2,0.17141,0.9998,0.015
0.15858,0.82653,0.48738,1,2,2,2,3,0.21016,0.9998,0.096
0.66466,0.86734,0.22726,3,3,3,3,2,0.33558,0.0351,0.31
0.65315,0.94378,0.60716,2,1,2,2,2,0.028487,0.2408,0.019
0.53537,0.55139,0.5482,2,2,1,1,2,0.045461,0.3882,0.394
0.39592,0.4041,0.8846,1,2,2,2,2,0.17733,0.9998,0.036
0.72143,0.58875,0.18559,2,2,2,2,3,0.011951,0.0428,0.473
0.68971,0.77527,0.81241,2,3,3,3,2,0.065299,0.0868,0.252
0.25769,0.90678,0.95108,1,3,2,2,3,0.22776,0.9998,0.185
0.22379,0.53346,0.05022,1,1,3,3,3,0.083071,0.0912,0.023
0.24218,0.93516,0.29148,2,3,2,1,3,0.3116,0.0725,0.799
0.37867,0.81188,0.91997,3,1,3,3,2,0.24769,0.595,0.001
0.25457,0.5832,0.95916,1,2,1,3,2,0.32855,0.9998,0.013
0.42319,0.78275,0.68762,3,1,1,3,3,0.091383,0.9998,0.001
